timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
16645047467,541,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645061587,542,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645072733,543,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645087736,544,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645120234,545,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645140132,546,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645182463,547,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645236831,548,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645246586,549,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645287381,550,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645303887,551,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645373979,552,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645387771,553,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645397751,554,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645440136,555,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645463962,556,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645491144,557,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645537816,558,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645549002,559,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645590203,560,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645614121,561,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645641174,562,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
